"author","title","link"
"R' Shraga Kallus","Parshas Vayeitzei - There Is No Such Thing As ""A Waste Of A Talmid""","https://www.torahanytime.com/lectures/407870"
"R' Shraga Kallus","Parshas Vayeitzei - The Fools In The Dormitory","https://www.torahanytime.com/lectures/407871"
"R' Shraga Kallus","Parshas Vayeitzei - These Clips are Takeh Really Funny","https://www.torahanytime.com/lectures/407637"
"Mrs. Leah Maksumov","Life Hack to Bring Mashiach Faster","https://www.torahanytime.com/lectures/406869"
"R' Moshe Moretov","Rashi on Parashat Vayetzei #4 - Le'iluy Nishmat Avraham Ben Mazal Zirkiyev","https://www.torahanytime.com/lectures/377527"
"R' Moshe Moretov","Rashi on Parashat Vayetzei #2","https://www.torahanytime.com/lectures/377525"
"R' Moshe Moretov","Rashi on Parashat Vayetzei #3","https://www.torahanytime.com/lectures/377526"
"R' Moshe Moretov","Rashi on Parashat Vayetzei","https://www.torahanytime.com/lectures/377523"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 300 - The Yehudah ben Moshe Institute - Chapter 31, v.43 - v.54","https://www.torahanytime.com/lectures/364594"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 299 - The Yehudah ben Moshe Institute - Chapter 31, v.42","https://www.torahanytime.com/lectures/363867"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 298 - The Yehudah ben Moshe Institute - Chapter 31, v.39 - v.41","https://www.torahanytime.com/lectures/363721"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 297 - The Yehudah ben Moshe Institute - Chapter 31, v.38","https://www.torahanytime.com/lectures/363556"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 296 - The Yehudah ben Moshe Institute - Chapter 31, v.36 - v.37","https://www.torahanytime.com/lectures/363178"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 294 - The Yehudah ben Moshe Institute - Chapter 31, v.20 - v.30","https://www.torahanytime.com/lectures/362749"
"R' Eliezer Rottenberg","Sfas Emes Parshas Vayetzei","https://www.torahanytime.com/lectures/362630"
"R' Eliezer Rottenberg","Sfas Emes Parshas Vayeitzei","https://www.torahanytime.com/lectures/362621"
"R' Mashiach Kelaty","Ohr Hachaim on the Torah Ep. 295 - The Yehudah ben Moshe Institute - Chapter 31, v.21 - v.22","https://www.torahanytime.com/lectures/362103"
